English Name,Korean Name
Ace Trainer_F,엘리트 트레이너
Ace Trainer_M,엘리트 트레이너
Artist,예술가
Backpacker_F,백팩커
Backpacker_M,백팩커
Baker,제빵사
Battle Girl,배틀걸
Biker,폭주족
Black Belt,태권왕
Clerk_F,여사원
Clerk_MA,비즈니스맨
Clerk_MB,비즈니스맨
Cyclist_F,사이클링
Cyclist_M,사이클링
Dancer,댄서
Doctor,의사
Fisherman,낚시꾼
Gentleman,신사
Herlequin,어릿광대
Hiker,등산가
Hoopster,농구선수
Infielder,야구선수
Janitor,청소부
Lady,아기씨
Lass,짧은 치마
Linebacker,미식축구선수
Maid,메이드
Musician,뮤지션
Nurse,간호사
Nursery Aide,보육사
Parasol Lady,파라솔 아가씨
Pilot,파일럿
Pokefan_F,애호가클럽
Pokefan_M,애호가클럽
Pokemon Breeder_F,포켓몬 브리더
Pokemon Breeder_M,포켓몬 브리더
Pokemon Ranger_F,포켓몬 레인저
Pokemon Ranger_M,포켓몬 레인저
Policeman,경찰
Cue Ball,빡빡이
Depot Agent,역무원
Preschooler_F,보육원아
Preschooler_M,보육원아
Psychic_F,초능력자
Psychic_M,초능력자
School Kid_F,학원 끝난 아이
School Kid_M,학원 끝난 아이
Scientist_F,연구원
Scientist_M,연구원
Smasher,테니스선수
Socialite,마담
Striker,축구선수
Swimmer_F,비키니 아가씨
Swimmer_M,수영팬티 소년
Waiter,웨이터
Waitress,웨이트리스
Worker1,작업원
Worker2,작업원
Youngster,반바지 꼬마
Aaron,충호
Acerola,아세로라
Adaman,찬석
Agatha,국화
Alder,노간주
Allister,어니언
Amarys,네리네
Anabel,리라
Archer,아폴로
Archie,아강
Argenta,맨드라
Ariana,아테나
Arven,페퍼
Atticus,추명
Avery,세이버리
Barry,용식
Bea,채두
Bede,비트
Bertha,들국화
Bianca,벨
Birch,털보박사
Blaine,강연
Brandon,기선
Brassius,콜사
Brawly,철구
Brendan,휘웅
Brock,웅
Bruno,시바
Brycen,담죽
Bryon,동관
Bugsy,호일
Burgh,아티
Burnet,버넷박사
Caitlin,카틀레야
Calem,칼름
Candice,무청
Cheren,체렌
Chili,팟
Chuck,사도
Cilan,덴트
Clair,이향
Clay,야콘
Clemont,시트론
Colress,아크로마
Courtney,구열
Crasher Wake,맥실러
Cress,콘
Crispin,하솔
Cynthia,난천
Cyrus,태홍
Dahila,달리아
Darach,코크런
Dawn,빛나
Diantha,카르네
Drake,권수
Drasna,드라세나
Drayden,사간
Drayton,제빈
Elesa,카밀레
Elio,영태
Elm,공박사
Eri,비파
Erika,민화
Ethan,심향
Faba,자우보
Falkner,비상
Fantina,멜리사
Flannery,민지
Flint,대엽
Florian,보민
Gardenia,유채
Geeta,테사
Ghetsis,게치스
Giacomo,피나
Giovanni,비주기
Glacia,미혜
Gladion,글라디오
Gloria,우리
Gordie,마쿠와
Grant,자크로
Green,그린
Greta,나리
Grimsley,블래리
Grusha,그루샤
Guzma,구즈마
Hala,할라
Hassel,팔자크
Hau,하우
Hilbert,투지
Hilda,투희
Hop,호브
Hugh,휴이
Ilima,일리마
Iono,모야모
Irida,주혜
Iris,아이리스
Janine,도희
Jasmine,규리
Juan,아단
Juliana,푸름
Juniper,주박사
Jupiter,주피터
Kabu,순무
Kahili,카일리
Karen,카렌
Katy,단풍
Kiawe,키아웨
Kieran,카지
Klara,도정
Kofu,곤포
Koga,독수
Korrina,코르니
Kris,크리스
Fukui,쿠쿠이박사
Lacey,타로
Lana,수련
Lance,묵호
Larry(Flying),청목
Larry(Normal),청목
Leaf,리프
Lenora,알로에
Leon,단델
Lillie,릴리에
Lisia,루티아
Liza,란
Lorelei,칸나
Lt Surge,마티스
Lucas,광휘
Lucian,오엽
Lucy,다슬
Lusamine,루자미네
Lysandre,플라드리
Magnolia,매그놀리아박사
Mallow,마오
Malva,파키라
Marlon,시즈
Marnie,마리
Mars,마스
Marshal,연무
Matt,해조
Maxie,마적
May,봄이
Maylene,자두
Mela,멜로코
Melony,멜론
Milo,아킬
Mina,말리화
Misty,이슬
Molayne,멀레인
Morty,유빈
N,N
Nate,공명
Nemona,네모
Nessa,야청
Noland,다투라
Norman,종길
Oak,오박사
Oleana,올리브
Olivia,라이치
Olympia,고지카
Opal,포폴러
Ortega,오르티가
Palmer,종수
Penny,모란
Petrel,람다
Phoebe,회연
Piers,두송
Plumeria,플루메리
Poppy,뽀삐
Proton,랜스
Pryce,류옹
Raihan,금랑
Ramos,후쿠지
Red,레드
Rika,칠리
Roark,강석
Rosa,명희
Rose,로즈
Rowan,마박사
Roxanne,원규
Roxie,보미카
Ryme,라임
Sabrina,초련
Sada,올림박사
Saturn,새턴
Selene,미월
Serena,세레나
Shauna,사나
Shauntal,망초
Shelly,이연
Sidney,혁진
Siebold,즈미
Silver,실버
Skyla,풍란
Sophocles,마마네
Spenser,우근
Steven,성호
Sycamore,플라나트박사
Tabitha,호걸
Tate,풍
Thorton,수철
Tierno,티에르노
Trace,진우
Trevor,트로바
Tucker,하인즈
Tulip,리파
Turo,투로박사
Valerie,마슈
Victor,승재
Viola,비올라
Volkner,전진
Volo,월로
Wallace,윤진
Wally,민진
Wattson,암페어
Whitney,꼭두
Wikstrom,간피
Will,일목
Winona,은송
Wulfric,우르프
